array_type,algorithm_name,sortedness,inversions,unique_ratio,misplaced_count,variance,num_steps,execution_time,winner_against,won,run_id
nearly_sorted,intro_sort,89.8989898989899,343,1.0,10,833.25,1674,0.0014154911041259766,bitonic_sort,0,2183
nearly_sorted,bitonic_sort,89.8989898989899,343,1.0,10,833.25,429,0.00109100341796875,intro_sort,1,2183
nearly_sorted,intro_sort,90.9090909090909,339,1.0,10,833.25,947,0.0010006427764892578,bitonic_sort,0,2184
nearly_sorted,bitonic_sort,90.9090909090909,339,1.0,10,833.25,392,0.0009996891021728516,intro_sort,1,2184
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2185
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,intro_sort,0,2185
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2186
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,intro_sort,0,2186
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2187
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,intro_sort,0,2187
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2188
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,intro_sort,0,2188
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2189
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,intro_sort,0,2189
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2190
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,intro_sort,0,2190
nearly_sorted,intro_sort,90.9090909090909,255,1.0,9,833.25,1680,0.002129077911376953,sleep_sort,1,2191
nearly_sorted,sleep_sort,90.9090909090909,255,1.0,9,833.25,101,0.12070608139038086,intro_sort,0,2191
nearly_sorted,intro_sort,89.8989898989899,421,1.0,10,833.25,1014,0.0,sleep_sort,1,2192
nearly_sorted,sleep_sort,89.8989898989899,421,1.0,10,833.25,101,0.13485312461853027,intro_sort,0,2192
nearly_sorted,intro_sort,91.91919191919192,427,1.0,8,833.25,1063,0.0,sleep_sort,1,2193
nearly_sorted,sleep_sort,91.91919191919192,427,1.0,8,833.25,101,0.12760448455810547,intro_sort,0,2193
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2194
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,intro_sort,0,2194
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2195
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,intro_sort,0,2195
nearly_sorted,intro_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2196
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,intro_sort,0,2196
nearly_sorted,cycle_sort,89.8989898989899,417,1.0,10,833.25,11,0.0,counting_sort,0,2197
nearly_sorted,counting_sort,89.8989898989899,417,1.0,10,833.25,400,0.0,cycle_sort,0,2197
nearly_sorted,cycle_sort,89.8989898989899,461,1.0,10,833.25,11,0.0,counting_sort,0,2198
nearly_sorted,counting_sort,89.8989898989899,461,1.0,10,833.25,400,0.0,cycle_sort,0,2198
nearly_sorted,cycle_sort,89.8989898989899,487,1.0,10,833.25,11,0.0,counting_sort,0,2199
nearly_sorted,counting_sort,89.8989898989899,487,1.0,10,833.25,400,0.0,cycle_sort,0,2199
nearly_sorted,cycle_sort,90.9090909090909,383,1.0,10,833.25,11,0.0,radix_sort,1,2200
nearly_sorted,radix_sort,90.9090909090909,383,1.0,10,833.25,619,0.003958940505981445,cycle_sort,0,2200
nearly_sorted,cycle_sort,90.9090909090909,247,1.0,10,833.25,11,0.0010132789611816406,radix_sort,0,2201
nearly_sorted,radix_sort,90.9090909090909,247,1.0,10,833.25,619,0.0,cycle_sort,1,2201
nearly_sorted,cycle_sort,90.9090909090909,305,1.0,9,833.25,10,0.0,radix_sort,1,2202
nearly_sorted,radix_sort,90.9090909090909,305,1.0,9,833.25,619,0.0010001659393310547,cycle_sort,0,2202
nearly_sorted,cycle_sort,90.9090909090909,203,1.0,10,833.25,11,0.0,bitonic_sort,1,2203
nearly_sorted,bitonic_sort,90.9090909090909,203,1.0,10,833.25,418,0.0011146068572998047,cycle_sort,0,2203
nearly_sorted,cycle_sort,89.8989898989899,333,1.0,10,833.25,11,0.0,bitonic_sort,1,2204
nearly_sorted,bitonic_sort,89.8989898989899,333,1.0,10,833.25,438,0.00063323974609375,cycle_sort,0,2204
nearly_sorted,cycle_sort,89.8989898989899,215,1.0,10,833.25,11,0.0,bitonic_sort,1,2205
nearly_sorted,bitonic_sort,89.8989898989899,215,1.0,10,833.25,393,0.0009999275207519531,cycle_sort,0,2205
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2206
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,cycle_sort,0,2206
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2207
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,cycle_sort,0,2207
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2208
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,cycle_sort,0,2208
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2209
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,cycle_sort,0,2209
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2210
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,cycle_sort,0,2210
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2211
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,cycle_sort,0,2211
nearly_sorted,cycle_sort,89.8989898989899,291,1.0,10,833.25,11,0.0,sleep_sort,1,2212
nearly_sorted,sleep_sort,89.8989898989899,291,1.0,10,833.25,101,0.12175631523132324,cycle_sort,0,2212
nearly_sorted,cycle_sort,91.91919191919192,275,1.0,10,833.25,11,0.0,sleep_sort,1,2213
nearly_sorted,sleep_sort,91.91919191919192,275,1.0,10,833.25,101,0.1282660961151123,cycle_sort,0,2213
nearly_sorted,cycle_sort,89.8989898989899,291,1.0,10,833.25,11,0.0,sleep_sort,1,2214
nearly_sorted,sleep_sort,89.8989898989899,291,1.0,10,833.25,101,0.12600255012512207,cycle_sort,0,2214
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2215
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,cycle_sort,0,2215
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2216
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,cycle_sort,0,2216
nearly_sorted,cycle_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2217
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,cycle_sort,0,2217
nearly_sorted,counting_sort,89.8989898989899,277,1.0,10,833.25,400,0.0,radix_sort,0,2218
nearly_sorted,radix_sort,89.8989898989899,277,1.0,10,833.25,619,0.0,counting_sort,0,2218
nearly_sorted,counting_sort,89.8989898989899,349,1.0,10,833.25,400,0.0,radix_sort,0,2219
nearly_sorted,radix_sort,89.8989898989899,349,1.0,10,833.25,619,0.0,counting_sort,0,2219
nearly_sorted,counting_sort,89.8989898989899,255,1.0,10,833.25,400,0.0005395412445068359,radix_sort,1,2220
nearly_sorted,radix_sort,89.8989898989899,255,1.0,10,833.25,619,0.0006880760192871094,counting_sort,0,2220
nearly_sorted,counting_sort,89.8989898989899,115,1.0,10,833.25,400,0.0008442401885986328,bitonic_sort,1,2221
nearly_sorted,bitonic_sort,89.8989898989899,115,1.0,10,833.25,440,0.0010175704956054688,counting_sort,0,2221
nearly_sorted,counting_sort,90.9090909090909,233,1.0,10,833.25,400,0.0008776187896728516,bitonic_sort,1,2222
nearly_sorted,bitonic_sort,90.9090909090909,233,1.0,10,833.25,436,0.001165151596069336,counting_sort,0,2222
nearly_sorted,counting_sort,93.93939393939394,229,1.0,6,833.25,400,0.0009903907775878906,bitonic_sort,1,2223
nearly_sorted,bitonic_sort,93.93939393939394,229,1.0,6,833.25,443,0.001001119613647461,counting_sort,0,2223
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,bogo_sort,0,2224
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,counting_sort,0,2224
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,bogo_sort,0,2225
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,counting_sort,0,2225
nearly_sorted,counting_sort,100.0,0,1.0,0,2.0,20,0.0,bogo_sort,0,2226
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,counting_sort,0,2226
